FundataKey|AsOfDate|TotalDist-CurrMth|TotalDist-YTD|TotalDist-12Mth|DistYield|DivDist-CurrMth|DivDist-YTD|DivDist-12Mth|FgnDivDist-CurrMth|FgnDivDist-YTD|FgnDivDist-12Mth|CapGainsDist-CurrMth|CapGainsDist-YTD|CapGainsDist-12Mth|IntIncDist-CurrMth|IntIncDist-YTD|IntIncDist-12Mth|RtnPrinciple-CurrMth|RtnPrinciple-YTD|RtnPrinciple-12Mth|DistFrequency
10056|08/31/2020|||0.0086703|0.0687|||0.0086703|||||||||||||Annual
10057|08/31/2020|||0.0065844|0.068|||0.0065844|||||||||||||Annual
10080|08/31/2020||||||||||||||||||||Annual
10081|08/31/2020||||||||||||||||||||Annual
10082|08/31/2020||||||||||||||||||||No Distribution
10083|08/31/2020||||||||||||||||||||Annual
10088|08/31/2020||||||||||||||||||||No Distribution
10089|08/31/2020|0.0128301|0.2812473|0.4772904|1.1359|0.0128301|0.2812473|0.4772904|||||||||||||Monthly
10091|08/31/2020|||0.332558|2.7042|||0.000924||||||0.331634|||||||Annual
10093|08/31/2020||||||||||||||||||||No Distribution
10095|08/31/2020||||||||||||||||||||No Distribution
10098|08/31/2020|||0.2047183|0.8194|||0.2047183|||||||||||||Monthly
10104|08/31/2020||||||||||||||||||||No Distribution
10118|08/31/2020|0.0057171|0.0413345|0.0641364|1.9229|0.0057171|0.0413345|0.0641364|||||||||||||Monthly
10120|08/31/2020||||||||||||||||||||No Distribution
10123|08/31/2020|0.0000098|0.0027786|0.0068682|0.0686|0.0000098|0.0027786|0.0068682|||||||||||||Monthly
10127|08/31/2020|||0.0755031|0.374|||0.0755031|||||||||||||Annual
10128|08/31/2020||||||||||||||||||||Annual
10129|08/31/2020||||||||||||||||||||Annual
10130|08/31/2020||||||||||||||||||||No Distribution
10133|08/31/2020||||||||||||||||||||No Distribution
10135|08/31/2020|||0.2526461|2.6796|||0.000702||||||0.2519441|||||||Annual
10136|08/31/2020||||||||||||||||||||No Distribution
10142|08/31/2020||||||||||||||||||||No Distribution
10148|08/31/2020|0.0043831|0.0304049|0.047663|1.8639|0.0043831|0.0304049|0.047663|||||||||||||Monthly
10150|08/31/2020||||||||||||||||||||No Distribution
10153|08/31/2020|||0.0266331|0.729|||0.0266331|||||||||||||Annual
10154|08/31/2020|||0.0202257|0.7213|||0.0202257|||||||||||||Annual
10158|08/31/2020||||||||||||||||||||Annual
10159|08/31/2020||||||||||||||||||||Annual
10160|08/31/2020|||0.0093643|0.0759|||0.0093643|||||||||||||Annual
10161|08/31/2020|||0.0071114|0.0751|||0.0071114|||||||||||||Annual
10186|08/31/2020||0.0057019|0.0057019|0.0842||0.0057019|0.0057019|||||||||||||Monthly
10193|08/31/2020|||0.006443|0.0157|||0.006443|||||||||||||Annual
10195|08/31/2020||||||||||||||||||||Annual
10197|08/31/2020||0.192485|0.192485|2.3063||0.192485|0.192485|||||||||||||Annual
10204|08/31/2020||0.011626|0.011626|0.0789||0.011626|0.011626|||||||||||||Annual
10211|08/31/2020|0.000264|0.013756|0.06825|0.6825|0.000264|0.013756|0.06825|||||||||||||Monthly
10229|08/31/2020||0.224018|0.224018|1.1448||0.224018|0.224018|||||||||||||Annual
10239|08/31/2020||0.0079948|0.0079948|0.0707||0.0079948|0.0079948|||||||||||||Annual
10267|08/31/2020||||||||||||||||||||Annual
10269|08/31/2020||||||||||||||||||||Annual
10271|08/31/2020||||||||||||||||||||Annual
10281|08/31/2020||||||||||||||||||||Annual
10288|08/31/2020|0.013435|0.109732|0.164944|1.7547|0.013435|0.109732|0.162739||||||0.002205|||||||Monthly
10290|08/31/2020||||||||||||||||||||Annual
10298|08/31/2020||0.1113922|0.2177017|1.6739||0.1113922|0.2177017|||||||||||||Quarterly
10309|08/31/2020||||||||||||||||||||No Distribution
10310|08/31/2020||||||||||||||||||||Monthly
10311|08/31/2020||||||||||||||||||||No Distribution
10312|08/31/2020||||||||||||||||||||Monthly
10313|08/31/2020||||||||||||||||||||No Distribution
10314|08/31/2020||||||||||||||||||||No Distribution
10351|08/31/2020||||||||||||||||||||No Distribution
