FundataKey|StartDate|EnglishLegalName|FrenchLegalName|EnglishFundName50|FrenchFundName50|EnglishFundName25|FrenchFundName25|FundGrade|AssociatedBenchmarkID|EnglishGroupName|FrenchGroupName|EnglishFundTypeName|FrenchFundTypeName|EnglishInvestmentObjective|FrenchInvestmentObjective|EnglishInvestmentStrategy|FrenchInvestmentStrategy|EnglishClassification|FrenchClassification|EnglishDetailedClassification|FrenchDetailedClassification|RRSPMinInvest|NonRRSPMinInvest|EnglishLegalStatus|FrenchLegalStatus|EnglishTrustType|FrenchTrustType|Currency|EnglishHowSold|FrenchHowSold|RRSPEligible|RESPEligible|MER|MgmtFeePercent|EnglishMgmtFeePaidBy|FrenchMgmtFeePaidBy|TotalAssets|AvailableInProvince|EnglishProspectusRiskRating|FrenchProspectusRiskRating|EnglishProspectusRisk|FrenchProspectusRisk|ValuationFrequency|DistributionFrequency|MoneyFund|EnglishConciseFundObjective|FrenchConciseFundObjective|TimeHorizon
62407|06/30/2015|Bloom Burton Healthcare Lending Trust|Bloom Burton Healthcare Lending Trust|Bloom Burton Healthcare Lending Trust|Bloom Burton Healthcare Lending Trust|Blm Bur Hlthcare Lend Tru|Blm Bur Hlthcare Lend Tru||12023|Bloom Burton Investment|Bloom Burton Investment|Alternative Other|Spéciaux Autres|The objective is to achieve superior returns for investors by targeting a specialized niche in the fund market that is overlooked by other lenders.|L'objectif est d'atteindre des rendements supérieurs pour les investisseurs en ciblant une niche spécialisée dans le marché de fonds qui est négligée par les autres bailleurs de fonds.|The Fund and the Trust provide debt or debt-like capital to emerging commercial-stage Canadian healthcare companies with assets and cash-flow to support debt, but seeking funding amounts not provided by traditional lenders. The Fund and the Trust invest in both privately held and publicly traded companies using a variety of structures.|Le Fonds et la Fiducie fournissent de la créance ou de la dette comme capitale aux entreprises canadiennes émergentes de santé au stade commercial avec des actifs et des flux de trésorerie pour soutenir la dette, mais qui cherchent des montants de financement non fournis par les prêteurs traditionnels. Le Fonds et la Fiducie investissent dans des entreprises privées et cotées en bourse en utilisant une variété de structures.|Pooled|Caisse commune|Pooled|Caisse commune|||Ltd.Partnership||||CAD|Independent Broker/Dealer|Courtier indépendant|Yes|Y||||||AB BC ON PQ |||||Monthly|Annual|N|||
62515|09/09/2015|Lazard Defensive Global Dividend Fund Series A|Fonds de dividendes défensif mondial Lazard série A|Lazard Defensive Global Dividend Fund Series A|Fonds de dividendes défensif mondial Lazard A|Laza Def Gbl Div Fd A|Fds Divid Déf Md Lazd A||42351|Brandes Funds |Brandes Funds |Global Equity|Actions mondiales|The fundamental investment objective of Lazard Global Low Volatility Fund is to achieve long-term capital appreciation by investing primarily in the equity securities of issuers based around the globe. The Fund seeks to create a lower volatility pattern of returns when compared to global equities.|L'objectif de placement fondamental du Fonds mondial à faible volatilité Lazard est de réaliser une plus-value du capital à long terme en investissant principalement dans des titres de capitaux propres d'émetteurs du monde entier. Le Fonds cherche à créer un modèle de rendement à faible volatilité par rapport aux actions mondiales.|Lazard seeks to generate attractive risk-adjusted returns while lowering volatility, as compared to the MSCI World Index, by using a stock selection strategy intended to identify fundamentally attractive companies with favorable market sentiment. Lazard will focus on developed market companies and may invest in securities of issuers of any market capitalization. The Fund invests in securities of issuers based around the globe and may be 100% invested in non-Canadian securities.|Lazard cherche à obtenir un rendement rajusté en fonction du risque intéressant tout en réduisant la volatilité, par rapport à celle de l'indice mondial MSCI, en utilisant une stratégie de sélection des actions fondée sur des données visant à repérer des sociétés fondamentalement attrayantes qui sont bien vues par les participants au marché. Lazard met généralement l'accent sur les sociétés de marchés établis, et elle peut investir dans des titres d'émetteur de toute capitalisation boursière.|Mutual|Normal|Mutual|Normal|1000|1000|Trust|Fiducie|||CAD|Independent Broker/Dealer|Courtier indépendant|Yes|Y|2.21|1.7|Fund|Fonds|54.800096|AB BC MB NB NF NU NS NT ON PE PQ SK YT |Medium Risk|Risque moyen|This Fund is suitable for investors who are long-term investors and who wish to add the appreciation potential of companies from across the globe to their portfolio. To invest in this Fund, investors should be able to accept a medium degree of risk. This Fund is not suitable as a short term investment or for investors who cannot tolerate a medium degree of volatility. You should consider investing in the Hedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities but wish to minimize exposure to fluctuations in foreign currencies relative to the Canadian dollar. You should consider investing in the Unhedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities and also wish to be exposed to fluctuations in foreign currencies relative to the Canadian dollar.|Ce Fonds convient aux épargnants qui souhaitent investir à long terme et ajouter à leur portefeuille le potentiel de plus-value de sociétés du monde entier. Pour investir dans ce Fonds, les épargnants devraient pouvoir tolérer un niveau de risque moyen. Le Fonds n'est pas destiné aux placements à court terme et ne convient pas aux épargnants qui ne peuvent pas tolérer un niveau de volatilité moyen. Vous devriez envisager d'investir dans les séries de titres couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers, mais désirez limiter votre exposition aux fluctuations des devises par rapport au dollar canadien. Vous devriez envisager d'investir dans les séries de titres non couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers et désirez également être exposé aux fluctuations des devises par rapport au dollar canadien.|Daily|Annual|N|||
62516|09/09/2015|Lazard Defensive Global Dividend Fund Series A U$|Fonds de dividendes défensif mondial Lazard série A $U|Lazard Defensive Global Dividend Fund Series A U$|Fonds de dividendes défensif mondial Lazard A $U|Laza Def Gbl Div Fd A U$|Fds Divid Déf Md Lazd A$U|E|42351|Brandes Funds U$|Brandes Funds U$|Global Equity|Actions mondiales|The fundamental investment objective of Lazard Global Low Volatility Fund is to achieve long-term capital appreciation by investing primarily in the equity securities of issuers based around the globe. The Fund seeks to create a lower volatility pattern of returns when compared to global equities.|L'objectif de placement fondamental du Fonds mondial à faible volatilité Lazard est de réaliser une plus-value du capital à long terme en investissant principalement dans des titres de capitaux propres d'émetteurs du monde entier. Le Fonds cherche à créer un modèle de rendement à faible volatilité par rapport aux actions mondiales.|Lazard seeks to generate attractive risk-adjusted returns while lowering volatility, as compared to the MSCI World Index, by using a stock selection strategy intended to identify fundamentally attractive companies with favorable market sentiment. Lazard will focus on developed market companies and may invest in securities of issuers of any market capitalization. The Fund invests in securities of issuers based around the globe and may be 100% invested in non-Canadian securities.|Lazard cherche à obtenir un rendement rajusté en fonction du risque intéressant tout en réduisant la volatilité, par rapport à celle de l'indice mondial MSCI, en utilisant une stratégie de sélection des actions fondée sur des données visant à repérer des sociétés fondamentalement attrayantes qui sont bien vues par les participants au marché. Lazard met généralement l'accent sur les sociétés de marchés établis, et elle peut investir dans des titres d'émetteur de toute capitalisation boursière.|Mutual|Normal|Mutual|Normal|1000|1000|Trust|Fiducie|||USD|Independent Broker/Dealer|Courtier indépendant|Yes|Y|2.21|1.7|Fund|Fonds||AB BC MB NB NF NU NS NT ON PE PQ SK YT |Medium Risk|Risque moyen|This Fund is suitable for investors who are long-term investors and who wish to add the appreciation potential of companies from across the globe to their portfolio. To invest in this Fund, investors should be able to accept a medium degree of risk. This Fund is not suitable as a short term investment or for investors who cannot tolerate a medium degree of volatility. You should consider investing in the Hedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities but wish to minimize exposure to fluctuations in foreign currencies relative to the Canadian dollar. You should consider investing in the Unhedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities and also wish to be exposed to fluctuations in foreign currencies relative to the Canadian dollar.|Ce Fonds convient aux épargnants qui souhaitent investir à long terme et ajouter à leur portefeuille le potentiel de plus-value de sociétés du monde entier. Pour investir dans ce Fonds, les épargnants devraient pouvoir tolérer un niveau de risque moyen. Le Fonds n'est pas destiné aux placements à court terme et ne convient pas aux épargnants qui ne peuvent pas tolérer un niveau de volatilité moyen. Vous devriez envisager d'investir dans les séries de titres couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers, mais désirez limiter votre exposition aux fluctuations des devises par rapport au dollar canadien. Vous devriez envisager d'investir dans les séries de titres non couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers et désirez également être exposé aux fluctuations des devises par rapport au dollar canadien.|Daily|Annual|N|||
62517|09/09/2015|Lazard Defensive Global Dividend Fund Series F|Fonds de dividendes défensif mondial Lazard série F|Lazard Defensive Global Dividend Fund Series F|Fonds de dividendes défensif mondial Lazard F|Laza Def Gbl Div Fd F|Fds Divid Déf Md Lazd F|E|42351|Brandes Investment Partners & Co. Class F|Placements Brandes Classe F|Global Equity|Actions mondiales|The fundamental investment objective of Lazard Global Low Volatility Fund is to achieve long-term capital appreciation by investing primarily in the equity securities of issuers based around the globe. The Fund seeks to create a lower volatility pattern of returns when compared to global equities.|L'objectif de placement fondamental du Fonds mondial à faible volatilité Lazard est de réaliser une plus-value du capital à long terme en investissant principalement dans des titres de capitaux propres d'émetteurs du monde entier. Le Fonds cherche à créer un modèle de rendement à faible volatilité par rapport aux actions mondiales.|Lazard seeks to generate attractive risk-adjusted returns while lowering volatility, as compared to the MSCI World Index, by using a stock selection strategy intended to identify fundamentally attractive companies with favorable market sentiment. Lazard will focus on developed market companies and may invest in securities of issuers of any market capitalization. The Fund invests in securities of issuers based around the globe and may be 100% invested in non-Canadian securities.|Lazard cherche à obtenir un rendement rajusté en fonction du risque intéressant tout en réduisant la volatilité, par rapport à celle de l'indice mondial MSCI, en utilisant une stratégie de sélection des actions fondée sur des données visant à repérer des sociétés fondamentalement attrayantes qui sont bien vues par les participants au marché. Lazard met généralement l'accent sur les sociétés de marchés établis, et elle peut investir dans des titres d'émetteur de toute capitalisation boursière.|Mutual|Normal|Mutual|Normal|1000|1000|Trust|Fiducie|||CAD|Independent Broker/Dealer|Courtier indépendant|Yes|Y|1.07|0.7|Fund|Fonds||AB BC MB NB NF NU NS NT ON PE PQ SK YT |Medium Risk|Risque moyen|This Fund is suitable for investors who are long-term investors and who wish to add the appreciation potential of companies from across the globe to their portfolio. To invest in this Fund, investors should be able to accept a medium degree of risk. This Fund is not suitable as a short term investment or for investors who cannot tolerate a medium degree of volatility. You should consider investing in the Hedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities but wish to minimize exposure to fluctuations in foreign currencies relative to the Canadian dollar. You should consider investing in the Unhedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities and also wish to be exposed to fluctuations in foreign currencies relative to the Canadian dollar.|Ce Fonds convient aux épargnants qui souhaitent investir à long terme et ajouter à leur portefeuille le potentiel de plus-value de sociétés du monde entier. Pour investir dans ce Fonds, les épargnants devraient pouvoir tolérer un niveau de risque moyen. Le Fonds n'est pas destiné aux placements à court terme et ne convient pas aux épargnants qui ne peuvent pas tolérer un niveau de volatilité moyen. Vous devriez envisager d'investir dans les séries de titres couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers, mais désirez limiter votre exposition aux fluctuations des devises par rapport au dollar canadien. Vous devriez envisager d'investir dans les séries de titres non couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers et désirez également être exposé aux fluctuations des devises par rapport au dollar canadien.|Daily|Annual|N|||
62518|09/09/2015|Lazard Defensive Global Dividend Fund Series F U$|Fonds de dividendes défensif mondial Lazard série F $U|Lazard Defensive Global Dividend Fund Series F U$|Fonds de dividendes défensif mondial Lazard F $U|Laza Def Gbl Div Fd F U$|Fds Divid Déf Md Lazd F$U|E|42351|Brandes Investment Partners & Co. Class F U$|Placements Brandes Classe F U$|Global Equity|Actions mondiales|The fundamental investment objective of Lazard Global Low Volatility Fund is to achieve long-term capital appreciation by investing primarily in the equity securities of issuers based around the globe. The Fund seeks to create a lower volatility pattern of returns when compared to global equities.|L'objectif de placement fondamental du Fonds mondial à faible volatilité Lazard est de réaliser une plus-value du capital à long terme en investissant principalement dans des titres de capitaux propres d'émetteurs du monde entier. Le Fonds cherche à créer un modèle de rendement à faible volatilité par rapport aux actions mondiales.|Lazard seeks to generate attractive risk-adjusted returns while lowering volatility, as compared to the MSCI World Index, by using a stock selection strategy intended to identify fundamentally attractive companies with favorable market sentiment. Lazard will focus on developed market companies and may invest in securities of issuers of any market capitalization. The Fund invests in securities of issuers based around the globe and may be 100% invested in non-Canadian securities.|Lazard cherche à obtenir un rendement rajusté en fonction du risque intéressant tout en réduisant la volatilité, par rapport à celle de l'indice mondial MSCI, en utilisant une stratégie de sélection des actions fondée sur des données visant à repérer des sociétés fondamentalement attrayantes qui sont bien vues par les participants au marché. Lazard met généralement l'accent sur les sociétés de marchés établis, et elle peut investir dans des titres d'émetteur de toute capitalisation boursière.|Mutual|Normal|Mutual|Normal|1000|1000|Trust|Fiducie|||USD|Independent Broker/Dealer|Courtier indépendant|Yes|Y|1.07|0.7|Fund|Fonds||AB BC MB NB NF NU NS NT ON PE PQ SK YT |Medium Risk|Risque moyen|This Fund is suitable for investors who are long-term investors and who wish to add the appreciation potential of companies from across the globe to their portfolio. To invest in this Fund, investors should be able to accept a medium degree of risk. This Fund is not suitable as a short term investment or for investors who cannot tolerate a medium degree of volatility. You should consider investing in the Hedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities but wish to minimize exposure to fluctuations in foreign currencies relative to the Canadian dollar. You should consider investing in the Unhedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities and also wish to be exposed to fluctuations in foreign currencies relative to the Canadian dollar.|Ce Fonds convient aux épargnants qui souhaitent investir à long terme et ajouter à leur portefeuille le potentiel de plus-value de sociétés du monde entier. Pour investir dans ce Fonds, les épargnants devraient pouvoir tolérer un niveau de risque moyen. Le Fonds n'est pas destiné aux placements à court terme et ne convient pas aux épargnants qui ne peuvent pas tolérer un niveau de volatilité moyen. Vous devriez envisager d'investir dans les séries de titres couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers, mais désirez limiter votre exposition aux fluctuations des devises par rapport au dollar canadien. Vous devriez envisager d'investir dans les séries de titres non couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers et désirez également être exposé aux fluctuations des devises par rapport au dollar canadien.|Daily|Annual|N|||
62519|09/09/2015|Lazard Defensive Global Dividend Fund Series I|Fonds de dividendes défensif mondial Lazard série I|Lazard Defensive Global Dividend Fund Series I|Fonds de dividendes défensif mondial Lazard I|Laza Def Gbl Div Fd I|Fds Divid Déf Md Lazd I|E|42351|Brandes Investment Partners & Co. Class I|Placements Brandes Classe I|Global Equity|Actions mondiales|The fundamental investment objective of Lazard Global Low Volatility Fund is to achieve long-term capital appreciation by investing primarily in the equity securities of issuers based around the globe. The Fund seeks to create a lower volatility pattern of returns when compared to global equities.|L'objectif de placement fondamental du Fonds mondial à faible volatilité Lazard est de réaliser une plus-value du capital à long terme en investissant principalement dans des titres de capitaux propres d'émetteurs du monde entier. Le Fonds cherche à créer un modèle de rendement à faible volatilité par rapport aux actions mondiales.|Lazard seeks to generate attractive risk-adjusted returns while lowering volatility, as compared to the MSCI World Index, by using a stock selection strategy intended to identify fundamentally attractive companies with favorable market sentiment. Lazard will focus on developed market companies and may invest in securities of issuers of any market capitalization. The Fund invests in securities of issuers based around the globe and may be 100% invested in non-Canadian securities.|Lazard cherche à obtenir un rendement rajusté en fonction du risque intéressant tout en réduisant la volatilité, par rapport à celle de l'indice mondial MSCI, en utilisant une stratégie de sélection des actions fondée sur des données visant à repérer des sociétés fondamentalement attrayantes qui sont bien vues par les participants au marché. Lazard met généralement l'accent sur les sociétés de marchés établis, et elle peut investir dans des titres d'émetteur de toute capitalisation boursière.|Mutual|Normal|Mutual|Normal|0|0|Trust|Fiducie|||CAD|Independent Broker/Dealer|Courtier indépendant|Yes|Y||1.9|Client|Client||AB BC MB NB NF NU NS NT ON PE PQ SK YT |Medium Risk|Risque moyen|This Fund is suitable for investors who are long-term investors and who wish to add the appreciation potential of companies from across the globe to their portfolio. To invest in this Fund, investors should be able to accept a medium degree of risk. This Fund is not suitable as a short term investment or for investors who cannot tolerate a medium degree of volatility. You should consider investing in the Hedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities but wish to minimize exposure to fluctuations in foreign currencies relative to the Canadian dollar. You should consider investing in the Unhedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities and also wish to be exposed to fluctuations in foreign currencies relative to the Canadian dollar.|Ce Fonds convient aux épargnants qui souhaitent investir à long terme et ajouter à leur portefeuille le potentiel de plus-value de sociétés du monde entier. Pour investir dans ce Fonds, les épargnants devraient pouvoir tolérer un niveau de risque moyen. Le Fonds n'est pas destiné aux placements à court terme et ne convient pas aux épargnants qui ne peuvent pas tolérer un niveau de volatilité moyen. Vous devriez envisager d'investir dans les séries de titres couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers, mais désirez limiter votre exposition aux fluctuations des devises par rapport au dollar canadien. Vous devriez envisager d'investir dans les séries de titres non couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers et désirez également être exposé aux fluctuations des devises par rapport au dollar canadien.|Daily|Annual|N|||
67928|05/09/2016|Lazard Defensive Global Dividend Fund Series AH|Fonds de dividendes défensif mondial Lazard série AH|Lazard Defensive Global Dividend Fund Series AH|Fonds de dividendes défensif mondial Lazard AH|Laza Def Gbl Div Fd AH|Fds Divid Déf Md Lazd AH|E|42351|Brandes Funds |Brandes Funds |Global Equity|Actions mondiales|The fundamental investment objective of Lazard Global Low Volatility Fund is to achieve long-term capital appreciation by investing primarily in the equity securities of issuers based around the globe. The Fund seeks to create a lower volatility pattern of returns when compared to global equities.|L'objectif de placement fondamental du Fonds mondial à faible volatilité Lazard est de réaliser une plus-value du capital à long terme en investissant principalement dans des titres de capitaux propres d'émetteurs du monde entier. Le Fonds cherche à créer un modèle de rendement à faible volatilité par rapport aux actions mondiales.|Lazard seeks to generate attractive risk-adjusted returns while lowering volatility, as compared to the MSCI World Index, by using a stock selection strategy intended to identify fundamentally attractive companies with favorable market sentiment. Lazard will focus on developed market companies and may invest in securities of issuers of any market capitalization. The Fund invests in securities of issuers based around the globe and may be 100% invested in non-Canadian securities.|Lazard cherche à obtenir un rendement rajusté en fonction du risque intéressant tout en réduisant la volatilité, par rapport à celle de l'indice mondial MSCI, en utilisant une stratégie de sélection des actions fondée sur des données visant à repérer des sociétés fondamentalement attrayantes qui sont bien vues par les participants au marché. Lazard met généralement l'accent sur les sociétés de marchés établis, et elle peut investir dans des titres d'émetteur de toute capitalisation boursière.|Mutual|Normal|Mutual|Normal|1000|1000|Trust|Fiducie|||CAD|Independent Broker/Dealer|Courtier indépendant|Yes|Y|2.28|1.75|Fund|Fonds||AB BC MB NB NF NU NS NT ON PE PQ SK YT |Medium Risk|Risque moyen|This Fund is suitable for investors who are long-term investors and who wish to add the appreciation potential of companies from across the globe to their portfolio. To invest in this Fund, investors should be able to accept a medium degree of risk. This Fund is not suitable as a short term investment or for investors who cannot tolerate a medium degree of volatility. You should consider investing in the Hedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities but wish to minimize exposure to fluctuations in foreign currencies relative to the Canadian dollar. You should consider investing in the Unhedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities and also wish to be exposed to fluctuations in foreign currencies relative to the Canadian dollar.|Ce Fonds convient aux épargnants qui souhaitent investir à long terme et ajouter à leur portefeuille le potentiel de plus-value de sociétés du monde entier. Pour investir dans ce Fonds, les épargnants devraient pouvoir tolérer un niveau de risque moyen. Le Fonds n'est pas destiné aux placements à court terme et ne convient pas aux épargnants qui ne peuvent pas tolérer un niveau de volatilité moyen. Vous devriez envisager d'investir dans les séries de titres couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers, mais désirez limiter votre exposition aux fluctuations des devises par rapport au dollar canadien. Vous devriez envisager d'investir dans les séries de titres non couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers et désirez également être exposé aux fluctuations des devises par rapport au dollar canadien.|Daily|Annual|N|||
67929|05/09/2016|Lazard Defensive Global Dividend Fund Series FH|Fonds de dividendes défensif mondial Lazard série FH|Lazard Defensive Global Dividend Fund Series FH|Fonds de dividendes défensif mondial Lazard FH|Laza Def Gbl Div Fd FH|Fds Divid Déf Md Lazd FH|E|42351|Brandes Investment Partners & Co. Class F|Placements Brandes Classe F|Global Equity|Actions mondiales|The fundamental investment objective of Lazard Global Low Volatility Fund is to achieve long-term capital appreciation by investing primarily in the equity securities of issuers based around the globe. The Fund seeks to create a lower volatility pattern of returns when compared to global equities.|L'objectif de placement fondamental du Fonds mondial à faible volatilité Lazard est de réaliser une plus-value du capital à long terme en investissant principalement dans des titres de capitaux propres d'émetteurs du monde entier. Le Fonds cherche à créer un modèle de rendement à faible volatilité par rapport aux actions mondiales.|Lazard seeks to generate attractive risk-adjusted returns while lowering volatility, as compared to the MSCI World Index, by using a stock selection strategy intended to identify fundamentally attractive companies with favorable market sentiment. Lazard will focus on developed market companies and may invest in securities of issuers of any market capitalization. The Fund invests in securities of issuers based around the globe and may be 100% invested in non-Canadian securities.|Lazard cherche à obtenir un rendement rajusté en fonction du risque intéressant tout en réduisant la volatilité, par rapport à celle de l'indice mondial MSCI, en utilisant une stratégie de sélection des actions fondée sur des données visant à repérer des sociétés fondamentalement attrayantes qui sont bien vues par les participants au marché. Lazard met généralement l'accent sur les sociétés de marchés établis, et elle peut investir dans des titres d'émetteur de toute capitalisation boursière.|Mutual|Normal|Mutual|Normal|1000|1000|Trust|Fiducie|||CAD|Independent Broker/Dealer|Courtier indépendant|Yes|Y|1.15|0.75|Fund|Fonds||AB BC MB NB NF NU NS NT ON PE PQ SK YT |Medium Risk|Risque moyen|This Fund is suitable for investors who are long-term investors and who wish to add the appreciation potential of companies from across the globe to their portfolio. To invest in this Fund, investors should be able to accept a medium degree of risk. This Fund is not suitable as a short term investment or for investors who cannot tolerate a medium degree of volatility. You should consider investing in the Hedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities but wish to minimize exposure to fluctuations in foreign currencies relative to the Canadian dollar. You should consider investing in the Unhedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities and also wish to be exposed to fluctuations in foreign currencies relative to the Canadian dollar.|Ce Fonds convient aux épargnants qui souhaitent investir à long terme et ajouter à leur portefeuille le potentiel de plus-value de sociétés du monde entier. Pour investir dans ce Fonds, les épargnants devraient pouvoir tolérer un niveau de risque moyen. Le Fonds n'est pas destiné aux placements à court terme et ne convient pas aux épargnants qui ne peuvent pas tolérer un niveau de volatilité moyen. Vous devriez envisager d'investir dans les séries de titres couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers, mais désirez limiter votre exposition aux fluctuations des devises par rapport au dollar canadien. Vous devriez envisager d'investir dans les séries de titres non couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers et désirez également être exposé aux fluctuations des devises par rapport au dollar canadien.|Daily|Annual|N|||
67932|05/09/2016|Lazard Defensive Global Dividend Fund Series IH|Fonds de dividendes défensif mondial Lazard série IH|Lazard Defensive Global Dividend Fund Series IH|Fonds de dividendes défensif mondial Lazard IH|Laza Def Gbl Div Fd IH|Fds Divid Déf Md Lazd IH|E|42351|Brandes Investment Partners & Co. Class I|Placements Brandes Classe I|Global Equity|Actions mondiales|The fundamental investment objective of Lazard Global Low Volatility Fund is to achieve long-term capital appreciation by investing primarily in the equity securities of issuers based around the globe. The Fund seeks to create a lower volatility pattern of returns when compared to global equities.|L'objectif de placement fondamental du Fonds mondial à faible volatilité Lazard est de réaliser une plus-value du capital à long terme en investissant principalement dans des titres de capitaux propres d'émetteurs du monde entier. Le Fonds cherche à créer un modèle de rendement à faible volatilité par rapport aux actions mondiales.|Lazard seeks to generate attractive risk-adjusted returns while lowering volatility, as compared to the MSCI World Index, by using a stock selection strategy intended to identify fundamentally attractive companies with favorable market sentiment. Lazard will focus on developed market companies and may invest in securities of issuers of any market capitalization. The Fund invests in securities of issuers based around the globe and may be 100% invested in non-Canadian securities.|Lazard cherche à obtenir un rendement rajusté en fonction du risque intéressant tout en réduisant la volatilité, par rapport à celle de l'indice mondial MSCI, en utilisant une stratégie de sélection des actions fondée sur des données visant à repérer des sociétés fondamentalement attrayantes qui sont bien vues par les participants au marché. Lazard met généralement l'accent sur les sociétés de marchés établis, et elle peut investir dans des titres d'émetteur de toute capitalisation boursière.|Mutual|Normal|Mutual|Normal|||Trust|Fiducie|||CAD|Independent Broker/Dealer|Courtier indépendant|Yes|Y||||||AB BC MB NB NF NU NS NT ON PE PQ SK YT |Medium Risk|Risque moyen|This Fund is suitable for investors who are long-term investors and who wish to add the appreciation potential of companies from across the globe to their portfolio. To invest in this Fund, investors should be able to accept a medium degree of risk. This Fund is not suitable as a short term investment or for investors who cannot tolerate a medium degree of volatility. You should consider investing in the Hedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities but wish to minimize exposure to fluctuations in foreign currencies relative to the Canadian dollar. You should consider investing in the Unhedged Series of securities of the Fund if you wish to gain exposure to foreign equity securities and also wish to be exposed to fluctuations in foreign currencies relative to the Canadian dollar.|Ce Fonds convient aux épargnants qui souhaitent investir à long terme et ajouter à leur portefeuille le potentiel de plus-value de sociétés du monde entier. Pour investir dans ce Fonds, les épargnants devraient pouvoir tolérer un niveau de risque moyen. Le Fonds n'est pas destiné aux placements à court terme et ne convient pas aux épargnants qui ne peuvent pas tolérer un niveau de volatilité moyen. Vous devriez envisager d'investir dans les séries de titres couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers, mais désirez limiter votre exposition aux fluctuations des devises par rapport au dollar canadien. Vous devriez envisager d'investir dans les séries de titres non couvertes du Fonds si vous souhaitez obtenir une exposition aux titres de capitaux propres étrangers et désirez également être exposé aux fluctuations des devises par rapport au dollar canadien.|Daily|Annual|N|||
93180|09/02/2020|iShares ESG Equity ETF Portfolio|iShares ESG Equity ETF Portfolio|iShares ESG Equity ETF Portfolio (GEQT)|iShares ESG Equity ETF Portfolio (GEQT)|iShares GEQT|iShares GEQT||42351|BlackRock Asset Management Canada Limited|Gestion d'actifs BlackRock Canada Limitée|Global Equity|Actions mondiales|GEQT seeks to provide long-term capital growth by investing primarily in one or more iShares ETFs that provide exposure to equity securities.  The iShares ETFs in which GEQT invests generally track indices that employ an ESG-oriented index methodology.|Le GEQT vise à procurer une croissance du capital à long terme principalement par des placements dans un ou plusieurs FNB iShares qui offrent une exposition aux titres de capitaux propres. Les FNB iShares dans lesquels le GEQT investit ont en général recours à des stratégies de placement axées sur l’éthique environnementale et sociale et la gouvernance. |GEQT invests primarily in one or more iShares ETFs that provide exposure to equity securities.  The iShares ETFs in which GEQT invests generally track indices that employ ESG-oriented index methodologies. |Le GEQT investit principalement dans un ou plusieurs FNB iShares qui offrent une exposition à des titres de capitaux propres. Les FNB iShares dans lesquels le GEQT investit ont en général recours à des stratégies axées sur l’éthique environnementale et sociale et la gouvernance. |Other|Autre|Exchange Traded Fund|Fonds négocié en bourse|||Trust|Fiducie|||CAD|Independent Broker/Dealer|Courtier indépendant|Yes|Y||0.22|Fund|Fonds||AB BC MB NB NF NU NS NT ON PE PQ SK YT |||||Daily|Quarterly|N|||
