FundataKey|EnglishMasterGrpName|FrenchMasterGrpName|EnglishGrpName|FrenchGrpName|Address|Telephone|Website|IFICMemberStatus
62407|Bloom Burton Investment|Bloom Burton Investment|Bloom Burton Investment|Bloom Burton Investment|65 Front Street East, Suite 300, Toronto, ON, Canada|4165511659|www.bloomburton.com|N
62515|Bridgehouse Asset Managers|Gestionrs d'actifs Bridgehouse|Brandes Funds |Brandes Funds |33 Yonge Street, Suite 300, Toronto, ON, Canada|4163065700|www.brandesinvestments.ca|Y
62516|Bridgehouse Asset Managers|Gestionrs d'actifs Bridgehouse|Brandes Funds U$|Brandes Funds U$|33 Yonge Street, Suite 300, Toronto, ON, Canada|4163065700|www.brandesinvestments.ca|Y
62517|Bridgehouse Asset Managers|Gestionrs d'actifs Bridgehouse|Brandes Investment Partners & Co. Class F|Placements Brandes Classe F|33 Yonge Street, Suite 300, Toronto, ON, Canada|4163065700|www.brandesinvestments.ca|Y
62518|Bridgehouse Asset Managers|Gestionrs d'actifs Bridgehouse|Brandes Investment Partners & Co. Class F U$|Placements Brandes Classe F U$|33 Yonge Street, Suite 300, Toronto, ON, Canada|4163065700|www.brandesinvestments.ca|Y
62519|Bridgehouse Asset Managers|Gestionrs d'actifs Bridgehouse|Brandes Investment Partners & Co. Class I|Placements Brandes Classe I|33 Yonge Street, Suite 300, Toronto, ON, Canada|4163065700|www.brandesinvestments.ca|Y
67928|Bridgehouse Asset Managers|Gestionrs d'actifs Bridgehouse|Brandes Funds |Brandes Funds |33 Yonge Street, Suite 300, Toronto, ON, Canada|4163065700|www.brandesinvestments.ca|Y
67929|Bridgehouse Asset Managers|Gestionrs d'actifs Bridgehouse|Brandes Investment Partners & Co. Class F|Placements Brandes Classe F|33 Yonge Street, Suite 300, Toronto, ON, Canada|4163065700|www.brandesinvestments.ca|Y
93180|BlackRock Asset Management|Gestion d'actifs BlackRock|BlackRock Asset Management Canada Limited|Gestion d'actifs BlackRock Canada Limitée|161 Bay St Suite 2500, Brookfield Place, P.O. Box 614, Toronto, ON, Canada|4166434000|www.ishares.ca|Y
93183|BlackRock Asset Management|Gestion d'actifs BlackRock|BlackRock Asset Management Canada Limited|Gestion d'actifs BlackRock Canada Limitée|161 Bay St Suite 2500, Brookfield Place, P.O. Box 614, Toronto, ON, Canada|4166434000|www.ishares.ca|Y
93185|BlackRock Asset Management|Gestion d'actifs BlackRock|BlackRock Asset Management Canada Limited|Gestion d'actifs BlackRock Canada Limitée|161 Bay St Suite 2500, Brookfield Place, P.O. Box 614, Toronto, ON, Canada|4166434000|www.ishares.ca|Y
93189|BlackRock Asset Management|Gestion d'actifs BlackRock|BlackRock Asset Management Canada Limited|Gestion d'actifs BlackRock Canada Limitée|161 Bay St Suite 2500, Brookfield Place, P.O. Box 614, Toronto, ON, Canada|4166434000|www.ishares.ca|Y
93249|Mackenzie Investments|Placements Mackenzie|Mackenzie Investments|Mackenzie Investments|c/o Mackenzie Financial Corporation, 180 Queen Street West, Toronto, ON, Canada|4169225322||N
93252|Mackenzie Investments|Placements Mackenzie|Quadrus Investment Services Ltd.|Quadrus Investment Services Ltd.|c/o Mackenzie Financial Corporation, 180 Queen Street West, Suite 1600, Toronto, ON, Canada|4169225322||Y
93407|Mackenzie Investments|Placements Mackenzie|Quadrus Investment Services Ltd. |Quadrus Investment Services Ltd. |c/o Mackenzie Financial Corporation, 180 Queen Street West, Suite 1600, Toronto, ON, Canada|4169225322|www.mackenziefinancial.com|N
93689|BMO Nesbitt Burns|BMO Nesbitt Burns|BMO Nesbitt Burns Linked Notes|BMO Nesbitt Burns Notes Liés|1501 McGill College Ave, 28th Floor, Montreal, QC, Canada|5142863541|www.bmonesbittburns.com|Y
93692|BMO Nesbitt Burns|BMO Nesbitt Burns|BMO Nesbitt Burns Linked Notes|BMO Nesbitt Burns Notes Liés|1501 McGill College Ave, 28th Floor, Montreal, QC, Canada|5142863541|www.bmonesbittburns.com|Y
