FundataKey|FundservCode|LoadType|ServiceFeeRate|ServiceFeeFrequency
10056|MMF14443|Deferred Sales Charge (Back End Load)||
10056|MMF4143|Initial Service Charge||
10056|MMF4357|Low Service Charge||
10056|MMF4443|Deferred Sales Charge (Back End Load)||
10056|MMF44443|Deferred Sales Charge (Back End Load)||
10056|MMF44743|Low Service Charge||
10056|MMF4543|Front End Load||
10056|MMF4743|Low Service Charge||
10056|MMF4843|Low Service Charge||
10057|MMF19443|Deferred Sales Charge (Back End Load)||
10057|MMF9243|Low Service Charge||
10057|MMF9343|Initial Service Charge||
10057|MMF9443|Deferred Sales Charge (Back End Load)||
10057|MMF9543|Front End Load||
10057|MMF9743|Low Service Charge||
10080|AGF258|Low Service Charge||
10080|AGF695|Deferred Sales Charge (Back End Load)||
10080|AGF795|Front End Load||
10081|AGF247|Low Service Charge||
10081|AGF680|Deferred Sales Charge (Back End Load)||
10081|AGF789|Front End Load||
10082|AGF201|Front End Load||
10082|AGF275|Low Service Charge||
10082|AGF931|Deferred Sales Charge (Back End Load)||
10083|AGF259|Low Service Charge||
10083|AGF696|Deferred Sales Charge (Back End Load)||
10083|AGF796|Front End Load||
10088|AGF267|Low Service Charge||
10088|AGF801|Front End Load||
10088|AGF802|Deferred Sales Charge (Back End Load)||
10089|AGF246|Low Service Charge||
10089|AGF676|Deferred Sales Charge (Back End Load)||
10089|AGF776|Front End Load||
10091|AGF254|Low Service Charge||
10091|AGF691|Deferred Sales Charge (Back End Load)||
10091|AGF791|Front End Load||
10093|AGF268|Low Service Charge||
10093|AGF811|Front End Load||
10093|AGF812|Deferred Sales Charge (Back End Load)||
10095|AGF204|Front End Load||
10095|AGF278|Low Service Charge||
10095|AGF934|Deferred Sales Charge (Back End Load)||
10098|AGF280|Front End Load||
10098|AGF293|Low Service Charge||
10098|AGF980|Deferred Sales Charge (Back End Load)||
10104|AGF223|Front End Load||
10104|AGF272|Low Service Charge||
10104|AGF923|Deferred Sales Charge (Back End Load)||
10118|AGF256|Low Service Charge||
10118|AGF692|Deferred Sales Charge (Back End Load)||
10118|AGF792|Front End Load||
10120|AGF260|Front End Load||
10120|AGF286|Low Service Charge||
10120|AGF960|Deferred Sales Charge (Back End Load)||
10123|AGF230|Front End Load||
10123|AGF274|Low Service Charge||
10123|AGF930|Deferred Sales Charge (Back End Load)||
10127|AGF484|Front End Load||
10127|AGF584|Deferred Sales Charge (Back End Load)||
10127|AGF617|Low Service Charge||
10128|AGF495|Front End Load||
10128|AGF595|Deferred Sales Charge (Back End Load)||
10128|AGF620|Low Service Charge||
10129|AGF489|Front End Load||
10129|AGF580|Deferred Sales Charge (Back End Load)||
10129|AGF659|Low Service Charge||
10130|AGF531|Front End Load||
10130|AGF626|Low Service Charge||
10130|AGF631|Deferred Sales Charge (Back End Load)||
10133|AGF663|Low Service Charge||
10133|AGF701|Front End Load||
10133|AGF702|Deferred Sales Charge (Back End Load)||
10135|AGF491|Front End Load||
10135|AGF591|Deferred Sales Charge (Back End Load)||
10135|AGF618|Low Service Charge||
10136|AGF664|Low Service Charge||
10136|AGF711|Front End Load||
10136|AGF712|Deferred Sales Charge (Back End Load)||
10142|AGF523|Front End Load||
10142|AGF622|Low Service Charge||
10142|AGF623|Deferred Sales Charge (Back End Load)||
10148|AGF492|Front End Load||
10148|AGF592|Deferred Sales Charge (Back End Load)||
10148|AGF619|Low Service Charge||
10150|AGF560|Front End Load||
10150|AGF636|Low Service Charge||
10150|AGF660|Deferred Sales Charge (Back End Load)||
10153|MMF14456|Deferred Sales Charge (Back End Load)||
10153|MMF4356|Front End Load||
10153|MMF44456|Deferred Sales Charge (Back End Load)||
10153|MMF4456|Deferred Sales Charge (Back End Load)||
10153|MMF44756|Deferred Sales Charge (Back End Load)||
10153|MMF4556|Front End Load||
10153|MMF4756|Low Service Charge||
10153|MMF4856|Low Service Charge||
10154|MMF19456|Deferred Sales Charge (Back End Load)||
10154|MMF9256|Low Service Charge||
10154|MMF9356|Front End Load||
10154|MMF9456|Deferred Sales Charge (Back End Load)||
10154|MMF9556|Front End Load||
10154|MMF9756|Low Service Charge||
10158|MMF14461|Deferred Sales Charge (Back End Load)||
10158|MMF4161|Front End Load||
10158|MMF4361|Front End Load||
10158|MMF44461|Deferred Sales Charge (Back End Load)||
10158|MMF4461|Deferred Sales Charge (Back End Load)||
10158|MMF44761|Low Service Charge||
10158|MMF4561|Front End Load||
10158|MMF4761|Low Service Charge||
10158|MMF4960|Low Service Charge||
10158|MMF9261|Low Service Charge||
10159|MMF19495|Deferred Sales Charge (Back End Load)||
10159|MMF9295|Low Service Charge||
10159|MMF9395|Front End Load||
10159|MMF9495|Deferred Sales Charge (Back End Load)||
10159|MMF9595|Front End Load||
10159|MMF9795|Low Service Charge||
10160|MMF14463|Deferred Sales Charge (Back End Load)||
10160|MMF4363|Front End Load||
10160|MMF44463|Deferred Sales Charge (Back End Load)||
10160|MMF4463|Deferred Sales Charge (Back End Load)||
10160|MMF44763|Deferred Sales Charge (Back End Load)||
10160|MMF4563|Front End Load||
10160|MMF4577|Low Service Charge||
10160|MMF4763|Low Service Charge||
10160|MMF4863|Low Service Charge||
10161|MMF19463|Deferred Sales Charge (Back End Load)||
