FundataKey|Date|NAVPS|MER|TotalAssets|DividendIncome|CapitalGains|ReturnOfCapital|DistributionTotal|SplitFactor|DistributionFrequency
10056|08/31/2020|12.6047|2.29|82.466113||||||Annual
10057|08/31/2020|9.674||1.070546||||||Annual
10080|08/31/2020|25.921664|2.63|572.976||||||Annual
10081|08/31/2020|70.331462|2.56|272.099||||||Annual
10082|08/31/2020|73.865705|2.66|1173.958||||||No Distribution
10083|08/31/2020|10.253088|2.88|133.895||||||Annual
10088|08/31/2020|36.801079|3.16|73.755||||||No Distribution
10089|08/31/2020|42.018343|1.88|683.506|0.0128301|||0.0128301||Monthly
10091|08/31/2020|12.297657|2.51|1022.66||||||Annual
10093|08/31/2020|23.124052|3.2|51.37||||||No Distribution
10095|08/31/2020|55.666047|2.72|554.137||||||No Distribution
10098|08/31/2020|24.983142|2.81|563.882||||||Monthly
10104|08/31/2020|14.730174|1.15|23.769||||||No Distribution
10118|08/31/2020|3.335343|1.84|2158.366|0.0057171|||0.0057171||Monthly
10120|08/31/2020|18.502043|2.41|711.7||||||No Distribution
10123|08/31/2020|10|1.65|155.093|0.0000098|||0.0000098||Monthly
10127|08/31/2020|20.184306||||||||Annual
10128|08/31/2020|19.87327||||||||Annual
10129|08/31/2020|53.920727||||||||Annual
10130|08/31/2020|56.630276||||||||No Distribution
10133|08/31/2020|28.21413||||||||No Distribution
10135|08/31/2020|9.428221||||||||Annual
10136|08/31/2020|17.728447||||||||No Distribution
10142|08/31/2020|11.293135||||||||No Distribution
10148|08/31/2020|2.557059|||0.0043831|||0.0043831||Monthly
10150|08/31/2020|14.184843||||||||No Distribution
10153|08/31/2020|3.6532|2.42|6.625148||||||Annual
10154|08/31/2020|2.8038||0.078617||||||Annual
10158|08/31/2020|57.308|2.31|40.335402||||||Annual
10159|08/31/2020|43.9833||0.316053||||||Annual
10160|08/31/2020|12.3235|2.33|15.122937||||||Annual
10161|08/31/2020|9.4582||0.15685||||||Annual
10186|08/31/2020|6.7717|1.57|53.826997||||||Monthly
10193|08/31/2020|40.962|2.59|479.839117||||||Annual
10195|08/31/2020|35.672|2.6|275.368763||||||Annual
10197|08/31/2020|8.346|2.74|76.627011||||||Annual
10204|08/31/2020|14.732|2.95|102.90828||||||Annual
10211|08/31/2020|10|1.26|197.505463|0.000264|||0.000264||Monthly
10229|08/31/2020|19.568|2.75|242.621369||||||Annual
