FundataKey|AsOfDate|1MthReturn|3MthReturn|6MthReturn|YTDReturn|1YrSimpleReturn|3YrSimpleReturn|5YrSimpleReturn|10YrSimpleReturn|1YrCompoundReturn|3YrCompoundReturn|5YrCompoundReturn|10YrCompoundReturn|InceptionReturn|TotalDist|DistYield
10056|08/31/2020|3.664|8.446|18.295|9.704|17.968|21.618|2.322|7.165|17.968|12.75|9.533|13.21|5.066|0.0086703|0.0687
10057|08/31/2020|6.571|15.043|21.872|9.182|20.309|16.923|3.094|16.529|20.309|11.309|9.856|10.939|5.651|0.0065844|0.068
10080|08/31/2020|2.877|12.832|22.919|22.635|28.841|30.366|6.394|11.61|28.841|18.611|15.512|14.906|7.528||
10081|08/31/2020|0.025|10.149|23.268|22.504|19.254|41.544|-3.148|20.132|19.254|21.621|14.723|15.47|10.62||
10082|08/31/2020|3.448|14.42|28.355|29.134|33.146|30.104|5.788|13.457|33.146|17.253|13.856|16.384|8.937||
10083|08/31/2020|5.169|14.803|3.634|1.052|11.524|2.07|16.628|9.602|11.524|1.565|4.92|3.47|2.971||
10088|08/31/2020|2.57|16.512|17.748|17.394|29.045|2.376|6.396|-6.051|29.045|8.058|10.215|7.307|6.013||
10089|08/31/2020|2.585|4.31|0.269|-4.27|0.943|8.792|6.096|4.145|0.943|3.066|4.102|6.23|7.979|0.4772904|1.1359
10091|08/31/2020|-0.971|11.902|2.063|-5.421|5.553|1.887|9.224|-0.274|5.553|2.007|5.231|2.619|9.279|0.332558|2.7042
10093|08/31/2020|1.43|5.823|-4.17|-14.652|-4.587|0.293|-13.639|-13.822|-4.587|-3.877|-3.246|0.839|4.148||
10095|08/31/2020|2.233|8.838|-1.438|-7.454|-2.538|9.385|7.889|10.086|-2.538|-1.143|0.311|0.508|7.369||
10098|08/31/2020|1.051|2.355|0.167|-1.671|0.205|6.852|4.81|-2.92|0.205|3.418|3.411|3.883|7.106|0.2047183|0.8194
10104|08/31/2020|-0.002|1.216|2.36|3.946|3.331|-0.039|0.849|0.229|3.331|2.182|1.382|1.164|1.567||
10118|08/31/2020|-0.353|2.351|1.758|2.919|2.852|-0.475|4.651|0.567|2.852|2.046|2.54|3.671|4.351|0.0641364|1.9229
10120|08/31/2020|1.258|1.136|-1.805|-8.467|-0.934|6.998|5.876|3.19|-0.934|1.383|3.644|8.544|4.603||
10123|08/31/2020|0|0|0.001|0.028|0.069|0.003|0|0.002|0.069|0.08|0.048|0.035|4.872|0.0068682|0.0686
10127|08/31/2020|4.721|15.011|9.06|0.827|7.616|1.566|6.814|5.304|7.616|2.566|4.606|4.127|4.634|0.0755031|0.374
10128|08/31/2020|5.645|19.103|26.491|22.09|31.513|24.772|7.252|21.217|31.513|16.912|15.823|12.574|7.771||
10129|08/31/2020|2.717|16.272|26.85|21.959|21.728|35.434|-2.354|30.657|21.728|19.863|15.033|13.139|10.04||
10130|08/31/2020|6.232|20.78|32.084|28.559|35.907|24.509|6.642|23.375|35.907|15.564|14.163|14.034|8.233||
10133|08/31/2020|5.331|22.988|21.169|16.872|31.721|-2.047|7.279|2.224|31.721|6.496|10.513|5.141|7.312||
10135|08/31/2020|1.694|18.123|5.029|-5.841|7.742|-2.503|10.084|8.535|7.742|0.539|5.515|0.551|5.708|0.2526461|2.6796
10136|08/31/2020|4.16|11.705|-1.385|-15.031|-2.608|-4.053|-12.947|-6.253|-2.608|-5.267|-2.985|-1.193|-1.914||
10142|08/31/2020|2.689|6.842|5.335|3.484|5.474|-4.38|1.67|9.084|5.474|0.701|1.656|-0.875|0.688||
10148|08/31/2020|2.327|8.038|4.713|2.46|4.982|-4.809|5.612|9.419|4.982|0.524|2.816|1.59|3.731|0.047663|1.8639
10150|08/31/2020|3.983|6.757|1.048|-8.874|1.121|2.371|6.742|12.125|1.121|-0.088|3.924|6.342|4.5||
10153|08/31/2020|1.789|6.195|6.647|-1.767|5.827|9.991|-3.266|6.179|5.827|6.832|4.672|5.539|1.257|0.0266331|0.729
10154|08/31/2020|4.643|12.657|9.871|-2.235|7.926|5.745|-2.539|15.457|7.926|5.466|4.98|3.383|-0.987|0.0202257|0.7213
10158|08/31/2020|2.506|5.871|13.977|7.345|14.045|19.388|1.761|7.189|14.045|10.813|7.906|12.442|5.987||
10159|08/31/2020|5.381|12.312|17.424|6.835|16.307|14.778|2.527|16.556|16.307|9.396|8.225|10.185|1.132||
10160|08/31/2020|2.771|2.415|-4.2|-13.059|-6.747||||-6.747||||-7.901|0.0093643|0.0759
10161|08/31/2020|5.655|8.645|-1.302|-13.473|-4.896||||-4.896||||-6.182|0.0071114|0.0751
10186|08/31/2020|-1.117|1.99|3.689|7.357|5.076|-0.014|4.6|2.922|5.076|4.362|2.998|2.932|3.988|0.0057019|0.0842
10193|08/31/2020|1.346|6.736|3.709|0.75|3.195|3.48|5.773|3.392|3.195|2.584|2.766|4.771|6.418|0.006443|0.0157
10195|08/31/2020|2.6|8.571|4.807|-1.965|2.47|5.447|5.996|3.37|2.47|1.583|2.69|5.803|7.182||
10197|08/31/2020|4.783|8.573|-3.03|-9.752|-0.489|7.794|-1.255|1.873|-0.489|1.216|1.824|2.147|4.625|0.192485|2.3063
10204|08/31/2020|2.498|8.675|13.632|7.12|14.443|5.291|6.164|5.008|14.443|7.744|6.737|10.076|4.94|0.011626|0.0789
