FundataKey|Date|StyleBias|MktCapBias|ModDurationDate|ModDuration|AvgMaturity|ShortTermBond|MidTermBond|LongTermBond|AsOfDate|CreditRating
10056|07/31/2020|Growth|Large||||||||
10057|07/31/2020|Growth|Large||||||||
10080|07/31/2020|Growth|Large||||||||
10081|07/31/2020|Growth|Large||||||||
10082|07/31/2020|Growth|Large||||||||
10083|07/31/2020|Growth|Small||||||||
10088|07/31/2020|Growth|Large||||||||
10089|07/31/2020|Growth|Large||||||||
10091|07/31/2020|Growth|Large||||||||
10093|07/31/2020|Blend|Large||||||||
10095|07/31/2020|Growth|Large||||||||
10098|07/31/2020|Growth|Large|07/31/2020|3.751821|3.67|15.54|7.84|3.57|07/31/2020|40
10104|07/31/2020|||07/31/2020|2.824847|3|64.4|23.41||07/31/2020|60
10118|07/31/2020|||07/31/2020|4.1982|5.54|44.92|27.99|12.73|07/31/2020|40
10120|07/31/2020|Growth|Large||||||||
10123|07/31/2020||||||||||
10127|07/31/2020|Growth|Large|07/31/2020|3.283239||14|5.68|2.58||
10128|07/31/2020|Growth|Large||||||||
10129|07/31/2020|Growth|Large||||||||
10130|07/31/2020|Growth|Large||||||||
10133|07/31/2020|Growth|Large||||||||
10135|07/31/2020|Growth|Large||||||||
10136|07/31/2020|Blend|Large||||||||
10142|07/31/2020|||07/31/2020|2.824847|3|64.4|23.41||07/31/2020|60
10148|07/31/2020|||07/31/2020|4.1982|5.54|44.92|27.99|12.73|07/31/2020|40
10150|07/31/2020|Growth|Large||||||||
10153|07/31/2020|Growth|Large||||||||
10154|07/31/2020|Growth|Large||||||||
10158|07/31/2020|Growth|Large||||||||
10159|07/31/2020|Growth|Large||||||||
10160|07/31/2020|Blend|Large||||||||
10161|07/31/2020|Blend|Large||||||||
10186|07/31/2020|||07/31/2020|8.621316|10.96|31.89|17.82|45.52|07/31/2020|60
10193|08/31/2020|Growth|Large|07/31/2020|8.763865|11.71|6.01|11.96|18.7|07/31/2020|40
10195|08/31/2020|Growth|Large||||||||
10197|08/31/2020|Growth|Large||||||||
10204|08/31/2020|Growth|Large||||||||
10211|08/31/2020||||||||||
